,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"discussion of MMIWG movement (1,0)","specifc case (1, 0)","multiple cases (1, 0)","coverage of legal protection or policy (1,0)","News article (1,0)","video/audio (1,0)","national (1,0)","regional (1,0)","local (1,0)","family or friends of victim referenced (1, 0)","details on victim life (1, 0)","details on perpetrator (1, 0)",# of govt officials referenced,# of ordinary people referenced,# of experts referenced ,# of id male,# of id female,# of gender unID
N/A,N/A,,Lewiston Tribune ,2019,Murdered and missing indigenous women invisible no more ,"Lewiston, Nez Perce County, ID","Washington State, National",Access World News,"June 17, 2019 ",N/A,Newspaper,https://drive.google.com/file/d/1gR7yUOL8KaVRDhXe1XppaBcd79-X2aYA/view?usp=share_link,1,1,1,1,1,,,,,,1,0,0,,,,,,
Bauer,Jennider K.,,Lewiston Tribune ,2019,Missing but not forgotten - Roxanne White i helping shed light on an epidemic of missing and murdered indigenous women ,"Lewiston, Nez Perce County, ID","Fort Hall, Bingham County, ID, Yakama Reservation, Yakima County, WA, Seattle, King County, WA, National",Access World News,"March 17, 2019 ",N/A,Newspaper,https://drive.google.com/file/d/1MDwcPks7xmxOYeeBdi_0ntDQvngEPRrH/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,
Wilson,Sam,,Lewiston Tribune ,2019,American Indian girls and women continue to go missing at high rate,"Lewiston, Nez Perce County, ID","Billings, Yellowstone, MT, National",Access World News,"March 3, 2019",N/A,Newspaper,https://drive.google.com/file/d/1k9wEAlMZ9oeh8BAJcglmfHEqs20Zl8Ss/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,
Ayer,Tammy,,Lewiston Tribune ,2019,"Vigil for missing, murdered women set today ","Lewiston, Nez Perce County, ID","Wapato, Yakima County, WA",Access World News,"February 23, 2019",N/A,Newspaper,https://drive.google.com/file/d/1trdGLbB1Ucaq4DaexWZ8bsljzOhLRJlr/view?usp=share_link,1,1,1,0,0,,,,,,1,1,0,,,,,,
N/A,N/A,,Lewiston Tribune ,2025,Washington's task force is producing welcome results ,"Lewiston, Nez Perce County, ID","Yakima, Yakima County, WA, Washington State",Access World News,"July 12, 2025",4B,Newspaper-Image Edition,https://drive.google.com/file/d/1Q-f53vUoZQPmCs1oSzVUacB4QOWp8QCZ/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Brewster,Kaylee,,Lewiston Tribune ,2024,Nez Perce Tribe to take jurisdiction over certain cases ,"Lewiston, Nez Perce County, ID","Nez Perce Reservation, Nez Perce County, ID, National ",Access World News,"July 3, 2024","1B, 3B",Newspaper-Image Edition,https://drive.google.com/file/d/1CIFEI7_LL7BoytjApU8oHLWoPL1O0Rkb/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,
Ryder-Marks,Mia,,Lewiston Tribune ,2024,"WA is 2nd in U.S. for missing, murdered Indigenous women ","Lewiston, Nez Perce County, ID","Washington State, Idaho, National",Access World News,"May 28, 2024","1A, 4A",Newspaper-Image Edition,https://drive.google.com/file/d/1msOkv6MBxA49Wt0CC-uE4by0QChEUn7Y/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Epperly ,Emma,,Lewiston Tribune ,2024,NW to get federal prosecutor dedicated to missing and slain Indigenous people ,"Lewiston, Nez Perce County, ID","Oregon, Montana, Idaho, California, Washington State",Access World News,"March 1, 2024",2C,Newspaper-Image Edition,https://drive.google.com/file/d/1g1Fuq7jcEon1i0nwOGdwAOaNIeGb-wQL/view?usp=share_link,1,0,0,1,1,,,,,,1,0,0,,,,,,
Dennis,Ellen,,Lewiston Tribune ,2023,Like an open wound': Washington task force holds event to highlight missing and slain Indigenous women ,"Lewiston, Nez Perce County, ID","White Swan, Yakima County, WA, Yakama Reservation, Yakima County, WA, Washington State",Access World News,"November 3, 2023",2C,Newspaper-Image Edition,https://drive.google.com/file/d/14d49rmfB3YIrkkMnCEmiL5-TabiWvt2x/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Golden ,Hallie,Christine Fernando ,Lewiston Tribune ,2023,"A day of celebration, protest and reclaiming history ","Lewiston, Nez Perce County, ID",National,Access World News,"October 7, 2023","1A, 5A",Newspaper-Image Edition,https://drive.google.com/file/d/1OBiBSA-1UJnZ6kclxSM7ENHGxKtmC1d-/view?usp=share_link,1,0,0,1,0,,,,,,1,0,0,,,,,,
Donovan-Smith,Orion ,,Lewiston Tribune ,2023,Justin Dept. taps E. Washington for efforts to solve MMIP cases ,"Lewiston, Nez Perce County, ID","Washington, D.C., Washingon State, Oregon, National ",Access World News,"July 8, 2023","1A, 5A",Newspaper-Image Edition,https://drive.google.com/file/d/1Chvy0ZyAOidKkuRTGGG2XHz-GDlN4QQI/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
N/A,N/A,,Lewiston Tribune ,2023,"Wearing red, Indigenous families honor missing relatives","Lewiston, Nez Perce County, ID","Albuquerque, Bernalillo County, NM, National",Access World News,"May 6, 2023",2A,Newspaper-Image Edition,https://drive.google.com/file/d/1RnixSDBJF-yCwtcnF_R6sQhYzZnBiV8X/view?usp=share_link,1,1,1,0,0,,,,,,0,1,0,,,,,,
Brewster,Kaylee,,Lewiston Tribune ,2023,Missing or gone. Not forgotten,"Lewiston, Nez Perce County, ID","Lapwai, Nez Perce County, ID, Lewiston, Nez Perce County, ID",Access World News,"May 4, 2023","1A, 3A",Newspaper-Image Edition,https://drive.google.com/file/d/1r4M7CofBVh_Hxm8Xi6Tp38sNf2wvoBuN/view?usp=share_link,1,1,1,1,0,,,,,,1,0,0,,,,,,
Kuipers,Anthony,,Lewiston Tribune ,2023,Students start database for Indigenous victims ,"Lewiston, Nez Perce County, ID","Moscow, Latah County, ID, United States, Canada ",Access World News,"April 21, 2023","1C, 6C",Newspaper-Image Edition,https://drive.google.com/file/d/1kAWuQ1CFvjF1JZLAMQ_Q890tD_9r_ODZ/view?usp=share_link,1,1,0,1,0,,,,,,0,0,0,,,,,,
N/A,N/A,,Lewiston Tribune ,2023,Washington bill would create unit investigating missing nad murdered Indigenous women ,"Lewiston, Nez Perce County, ID",Washington State,Access World News,"January 10, 2023",C2,Newspaper-Image Edition,https://drive.google.com/file/d/1eiIQzCqp6N6N57TI1xqrGYUqy6VSTHnO/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
N/A,N/A,,Lewiston Tribune ,2022,Finding justice for murdered and missing Indigenous people,"Lewiston, Nez Perce County, ID",Washington State,Access World News,"August 14, 2022",F1,Newspaper-Image Edition,https://drive.google.com/file/d/1kENtnwCg-gJOVfZp5-A4Sqx8frzvBxxJ/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
Brewster,Kaylee,,Lewiston Tribune ,2022,Speaking out against the silence,"Lewiston, Nez Perce County, ID","Lewiston, Nez Perce County, ID, Lapwai, Nez Perce County, ID, Idaho ",Access World News,"April 23, 2022","1A, 3A",Newspaper-Image Edition,https://drive.google.com/file/d/1qU7KpgjMpanzJsXs1ylTFlaqTgauPRl-/view?usp=share_link,1,1,0,1,1,,,,,,1,1,1,,,,,,
N/A,N/A,,Lewiston Tribune ,2022,Panel discussion on Missing and Murdered Indigenous Women set for Lewiston ,"Lewiston, Nez Perce County, ID","Lewiston, Nez Perce County, ID",Acccess World News,"April 22, 2022",1C,Newspaper-Image Edition,https://drive.google.com/file/d/1srRCWhXSOlC0Eo7KfdQetaWzrK3EnC8_/view?usp=share_link,1,1,1,0,1,,,,,,1,1,1,,,,,,
Hedberg,Kathy ,,Lewiston Tribune ,2022,Ellenwood receives maximum sentence for Blackeagle murder,"Lewiston, Nez Perce County, ID","Kamiah, Lewis County, ID, Lewiston, Nez Perce County, ID",Access World News,"April 5, 2022","1A, 3A",Newspaper-Image Edition,https://drive.google.com/file/d/1BKS3TZT-UxzsVoOSKViZGezH-3CVi8tx/view?usp=share_link,1,0,1,1,1,,,,,,1,1,1,,,,,,
Flaccus,Gillian,Ted S. Warren ,Lewiston Tribune ,2022,Giving a voice to a silent crisis ,"Lewiston, Nez Perce County, ID","Tulalip, Snohomish County, WA, Washington State",Access World News,"April 1, 2022","1C, 3C",Newspaper-Image Edition,https://drive.google.com/file/d/1oGLpX3uMr5xopI1y2Iq3ko-3zFQJlcoM/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Associated Press,,,Lewiston Tribune ,2022,California tribe confronts crisis of missing women ,"Lewiston, Nez Perce County, ID","Yurok Reservation, Yurok/Klamath County, CA",Access World News,"February 22, 2022",5A,Newspaper-Image Edition,https://drive.google.com/file/d/1uH8eLfk88Eo5F1U2FLVEQqa9tAzDlJ_f/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Kahle,Sarah,,Lewiston Tribune ,2022,Bill targets crisis of missing Indigenous people ,"Lewiston, Nez Perce County, ID","Seattle, King County, WA, Washington State",Access World News,"January 18, 2022",2C,Newspaper-Image Edition,https://drive.google.com/file/d/12IqXS3SrsKO97tfrEGKVIczhAOTC2UQH/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
N/A,N/A,,Lewiston Tribune ,2021,Nez perce Tribal member Tai Simpson earns honor ,"Lewiston, Nez Perce County, ID","Idaho, National",Access World News,"December 12, 2022",1E,Newspaper-Image Edition,https://drive.google.com/file/d/1yOZ0i9QBEohQE_qSYQwvpyYdHart28Pu/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,
Agidius ,Cindy,,Lewiston Tribune ,2021,"They could be our daughters, sisters, mothers and wives","Lewiston, Nez Perce County, ID","Idaho, United States, Canada",Access World Newa,"October 17, 2021",1F,Newspaper-Image Edition,https://drive.google.com/file/d/1K810aXmxYRL0tnNOumRZHBx2cjN4Kyjy/view?usp=share_link,1,0,1,1,1,,,,,,1,1,1,,,,,,
Mcavoy,Audrey,,Lewiston Tribune ,2021,Fighting for others like her ,"Lewiston, Nez Perce County, ID","Honolulu, Honolulu County, HI, National",Access World News,"October 8, 2021",2A,Newspaper-Image Edition,https://drive.google.com/file/d/1K810aXmxYRL0tnNOumRZHBx2cjN4Kyjy/view?usp=share_link,1,0,1,1,1,,,,,,1,1,1,,,,,,
Daly,Mathew,,Lewiston Tribune ,2021,Haaland: Petito case a reminder of missing Native Americans ,"Lewiston, Nez Perce County, ID","Washington, D.C., National",Access World News,"September 24, 2021","1A, 3A",Newspaper-Image Edition,https://drive.google.com/file/d/1X6I-Z5otaUSYgyaMdKxg39fM5nbu8ws7/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Bryan Montoya ,Susan ,Felicia Fonseca ,Lewiston Tribune ,2021,A nationwide call to action ,"Lewiston, Nez Perce County, ID","Albuquerque, Bernalillo County, NM, National ",Access World News,"May 6, 2021",2A,Newspaper-Image Edition,https://drive.google.com/file/d/13v4487B5-kTZte9YSKQs9Vuz0JlcoRIy/view?usp=share_link,1,1,0,1,0,,,,,,1,0,0,,,,,,
Balsamo ,Michael,Iris Samuels,Lewiston Tribune ,2021,Justice Dept. working with tribes on missing persons ,"Lewiston, Nez Perce County, ID","Helena, Lewis and Clark County, MT, Montana, National",Access World News,"April 2, 2021","1A, 3A",Newspaper-Image Edition,https://drive.google.com/file/d/1m9YcyX_Zdt7zE4pzIWNkFof9g--1dZl7/view?usp=share_link,1,1,1,1,1,,,,,,1,0,0,,,,,,
Roesenberg,Paul,,Lewiston Tribune ,2021,Project Censored - Top 10 Stories the mianstream media missed in 2020,"Lewiston, Nez Perce County, ID",National,Access World News,"January 7, 2021",6,Newspaper-Image Edition,https://drive.google.com/file/d/19H2klXEw6etpP-fAztbZwnyu8Uc3BtEl/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
Mabie,Nora,,Lewiston Tribune ,2020,Injustice is not just black and white - Native Americans want be included in race talks,"Lewiston, Nez Perce County, ID","Great Falls, Cascade County, MT, Montana, National",Access World News,"June 7, 2020",2C,Newspaper-Image Edition,https://drive.google.com/file/d/1tkzweNLrF_uU5ru_vqW2zUXkCeHJhAZq/view?usp=share_link,1,1,1,1,0,,,,,,0,1,0,,,,,,
Spence,William L.,,Lewiston Tribune ,2020,"Troy resolution to call attention to missing, murdered indigenous people - Genesee representative introduces bill; other north central Idaho lawmakers also push their legislation ","Lewiston, Nez Perce County, ID","Boise, Ada County, ID, Idaho, National",Access World News,"February 13, 2020","1C, 3C",Newspaper-Image Edition,https://drive.google.com/file/d/1lxArLkezv-9B3ZF7VLEptVH1jLzkGfkR/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
Fonseca,Felicia,,Lewiston Tribune ,2020,Missing Native movement expands ,"Lewiston, Nez Perce County, ID","Tuba City, Cococino County, AZ, Billings, Yellowstone County, MT, National",Access World News,"January 27, 2020",2A,Newspaper-Image Edition,https://drive.google.com/file/d/1Gt_6heTs4RUAsOw7s8GalDMirdcuilDP/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Sewell,Cynthia,,Lewiston Tribune ,2019,"Scope of missing, murdered indigenous women a mystery ","Lewiston, Nez Perce County, ID","Boise, Ada County, ID, National, Canada",Access World News,"December 27, 2019 ","1A, 5A",Newspaper-Image Edition,https://drive.google.com/file/d/10bjrC3jUcaIaCp2Y9TzWWFU0xNueSbLL/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Ayer,Tammy,,Lewiston Tribune ,2019,"Tribal leaders gather for summit on missing, murdered women - Epidemic of violence against American Indian women drawing more attention across region ","Lewiston, Nez Perce County, ID","Toppenish, Yakima County, WA, Yakama Reservatiom, Yakima County, WA, Seattle, King County, WA, National",Access World News,"December 21, 2019",6C,Newspaper-Image Edition,https://drive.google.com/file/d/1E8txkQhN2nEtlWGl_Cz_xKrPU6Nyo7U-/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Balsamo ,Michael,Felicia Fonseca ,Lewiston Tribune ,2019,AG unveils plan on missing American Indian women,"Lewiston, Nez Perce County, ID","Pablo, Lake County, MT, National",Access World News,"November 23, 2019","1A, 5A",Newspaper-Image Edition,https://drive.google.com/file/d/1P7kKYLqG99fkSqLXmDEeP7EXSu8HuYws/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Bolton,Aaron,,Lewiston Tribune ,2019,"Families of missing, murdered seek help ","Lewiston, Nez Perce County, ID","Browning, Glacier County, MT, Montana, National",Access World News,"October 9, 2019",2C,Newspaper-Image Edition,https://drive.google.com/file/d/1sTj-e4KKaQJiKmb4FKu_N4r9GrGGxUXY/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
N/A,N/A,,Lewiston Tribune ,2019,Domestic violence conference today in Clarkston ,"Lewiston, Nez Perce County, ID","Clarkston, Asotin, WA",Access World News,"September 27, 2019",3B,Newspaper-Image Edition,https://drive.google.com/file/d/1zrnQvasuNqUGUv8gtly_sb00hiHKHHou/view?usp=share_link,1,1,0,0,0,,,,,,1,1,0,,,,,,
Hudetz,Mary,,Lewiston Tribune ,2019,Second deadline missed for tribal safety,"Lewiston, Nez Perce County, ID","Albuquerque, Bernalillo County, NM, National",Access World News,"July 16, 2019",5A,Newspaper-Image Edition,https://drive.google.com/file/d/1Arca7n77e7nsYcE_oPlpi_5U3UrIP_nI/view?usp=share_link,1,1,1,1,1,,,,,,1,0,0,,,,,,
Volz,Matt,,Lewiston Tribune ,2019,Tribes rally behind case alleging FBI bias,"Lewiston, Nez Perce County, ID","Helena, Lewis and Clark County, MT, Montana, National",Access World News,"July 3, 2019",2C,Newspaper-Image Edition,https://drive.google.com/file/d/1MrBGZOxU7OlpKlWQahX-476Pzmb-K8xI/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
N/A,N/A,,Lewiston Tribune ,2019,Murdered and missing indigenous women invisible no more ,"Lewiston, Nez Perce County, ID",Washington State,Access World News,"June 17, 2019",4A,Newspaper-Image Edition,https://drive.google.com/file/d/1R-pVDXCijoYXoxHm6Psv-zfiIOVCIpd0/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
N/A,N/A,,Lewiston Tribune ,2019,Missing indigenous women focus of new law,"Lewiston, Nez Perce County, ID","Olympia, Thurston County, WA, Washington State",Access World News,"April 25, 2019",6C,Newspaper-Image Edition,https://drive.google.com/file/d/1_XI0Vm8eXYU8T21OCKXX5UoX3lqr3_N1/view?usp=share_link,1,0,0,1,1,,,,,,1,0,0,,,,,,
Ayer,Tammy,,Lewiston Tribune ,2019,"Vigil for missing, murdered women set today ","Lewiston, Nez Perce County, ID","Wapato, Yakima County, WA, Yakama Reservation, Yakima County, WA, Toppenish, Yakima County, WA",Access World News,"February 23, 2019",3C,Newspaper-Image Edition,https://drive.google.com/file/d/1yCQBpEM6t5a-94kuKtsv9WjkYakTwZVb/view?usp=share_link,1,1,1,0,0,,,,,,1,1,0,,,,,,
N/A,N/A,,Lewiston Tribune ,2019,Community turns out for Montana girl's funeral,"Lewiston, Nez Perce County, ID","Lame Deer, Rosebud County, MT",Access World News,"January 7, 2019",2B,Newspaper-Image Edition,https://drive.google.com/file/d/1bzsSZnWM3dzu2iYGwLMQsbu_iWzbGOBg/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,
Hudetz,Mary,,Lewiston Tribune ,2018,Indigenous women matter:' Responding to a silent crisis,"Lewiston, Nez Perce County, ID","Montana, Wyoming, New Mexico, National",Access World News,"December 18, 2019",2C,Newspaper-Image Edition,https://drive.google.com/file/d/1Q2AXmGSizybx8RYFSd__rkScWL2REH3p/view?usp=share_link,1,0,1,1,1,,,,,,1,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewell,Cynthia ,,Associated Press State Wire: Idaho (2010-2025),2019,"Scope of missing, murdered indigenous women in Idaho unknown",Idaho,"Navajo Nation, McKinley County, New Mexico
",Access World News,"December 21, 2019",N/A,Newspaper,https://drive.google.com/file/d/136viK8vlUL5uYzZlAnoKxdhofeE86ZF0/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
N/A,N/A,,Coeur d'Alene Press (2003-2025),2021,Boyfriend of slain Gabby Petito charged with bank card fraud,"Coeur d'Alene, Kootenai County, Idaho","Grand Teton National Park, Teton County, Wyoming",Access World News,"September 23, 2021",N/A,Newspaper,https://drive.google.com/file/d/1eEiPDZfGecTO1HwhRX6RSgKA3z8y-TT0/view?usp=drive_link,1,0,1,1,0,,,,,,1,1,1,,,,,,
Bachara ,Gabriella,,NBC - 7 KTVB(2009-2025),2025,Arizona tribes unite in support after teen's tragic death - The Pascua Yaqui tribe walked and prayed for the murdered teen on Sunday in the town of Guadalupe.,"Boise, Ada County, Idaho","Mesa, Maricopa County, Arizona",Access World News,"March 16, 2025",N/A,Newspaper,https://drive.google.com/file/d/1TpBkUeVOQaIEKJPxV4V5AlYFIA7pkOsj/view?usp=drive_link,1,1,1,0,0,,,,,,1,1,1,,,,,,
Perez ,Brianda,,NBC - 7 KTVB(2009-2025),2022,Lawmakers look to designate May 5 as National Day for Missing and Murdered Native Women and Girls - The resolution calls for more work that needs to be done to address the cases of missing and murdered Native women and girls nationwide.,"Boise, Ada County, Idaho","Lame Deer, Rosebud County, Montana",Access World News,"May 5, 2022",N/A,Newspaper,https://drive.google.com/file/d/1nrTarqaRN7eslYUszEpDdnsc6_nOV51n/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Curtis,Channing,,NBC - 7 KTVB(2009-2025),2021,It's time to pay attention': Activists work to increase attention on missing Indigenous women,"Boise, Ada County, Idaho","Yakima, Yakima County, Washington
",Access World News,"October 1, 2021",N/A,Newspaper,https://drive.google.com/file/d/123IoJ4vsDMejkPyaX4gSwdYeNaduB_7-/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Brown,Ruth,,"Times-News, The(1999-2025)",2023,“We are not heard”: Indigenous women look for answers in high missing persons rate,"Twin Falls, Twin Falls County, Idaho
","Spokane, Spokane County, Washington
Plummer, Benewah County, Idaho
",Access World News,"November 6, 2023",N/A,Newspaper,https://drive.google.com/file/d/1b6BNJwtYUZqhvBzKSEiWhXKJwkg_pgs6/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangum,Kyle,,The Morning News,2019,Prayer walk for missing and murdered indigenous people,"Blackfoot, Bingham, ID",Fort Hall Reservation,Access World News,June 10,1,Newspaper,https://drive.google.com/file/d/1U963VWtLn0Eyy169R5lgnwftc-faIN0T/view?usp=sharing,1,1,1,1,1,,,,,,1,1,0,,,,,,
Epperly ,Emma,,The Moscow-Pullman Daily News,2024,A prosecutor for the missing,"Moscow, Latah, ID",Eastern WA; CA; MT; ID; OR; Yakama Nation ,Access World News,March 1,A4,Newspaper-Image Edition,https://drive.google.com/file/d/1AOcTW6FpOx2DVkqOvIKieP62EX_sosiz/view?usp=sharing,1,0,1,1,0,,,,,,0,1,0,,,,,,
Donovan-Smith,Orion,,The Moscow-Pullman Daily News,2023,Eastern Washington in focus for missing and slain Indigenous people,"Moscow, Latah, ID","Eastern WA; OR; Yakama Reservation; Colville Reservation; Spokane Reservation; Kalispel Reservation; Portland, Multnomah, OR; National",Access World News,July 8,A3,Newspaper-Image Edition,https://drive.google.com/file/d/17p3536UwUSpamt-66jnhIKPeUE8Ujwob/view?usp=sharing,1,1,1,1,1,,,,,,0,1,0,,,,,,
Kuipers,Anthony,,The Moscow-Pullman Daily News,2023,Students start database for Indigenous victims ,"Moscow, Latah, ID","Moscow, Latah, ID; National",Access World News,April 21,"A1, A3",Newspaper-Image Edition,https://drive.google.com/file/d/1OeQsKxt-GxDq1ozJsWSpquxabuNeVDNe/view?usp=sharing,,,,,,,,,,,,,,,,,,,
,,,The Moscow-Pullman Daily News,2022,WSU hosts events to celebrate Native American Heritage Month,"Moscow, Latah, ID","Pullman, Whitman, WA",Access World News,November 15,A3,Newspaper-Image Edition,https://drive.google.com/file/d/1sRGtMpQkEiGWc8BJXNJKJ9f5Mf4Bbht8/view?usp=drive_link,1,0,0,1,0,,,,,,0,0,0,,,,,,
Zhou,Amanda,,The Moscow-Pullman Daily News,2022,WA launches first-in-nation alert system for missing Indigenous persons,"Moscow, Latah, ID",WA,Access World News,July 2,A6,Newspaper-Image Edition,https://drive.google.com/file/d/1az0sIELZLPNlOwH1P6cfnhKeuIdJgQxa/view?usp=sharing,1,0,0,1,1,,,,,,0,0,0,,,,,,
Flaccus,Gillian,Ted S. Warren,The Moscow-Pullman Daily News,2022,Washington OKs 1st statewide missing Indigenous people alert,"Moscow, Latah, ID",Tulalip Reservation; WA; National; MT,Access World News,April 1 ,A3,Newspaper-Image Edition,https://drive.google.com/file/d/1z_IVRyFLXoZsRQsUvGGBc4-YKdKk6VvM/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
,,,The Moscow-Pullman Daily News,2021,Washington AG to speak tonight for Foley institute,"Moscow, Latah, ID","Pullman, Whitman, WA; WA",Access World News,Dec 2,15,Newspaper-Image Edition,https://drive.google.com/file/d/1mYFbq_rzVEKRYF0tlQ2MmYuaus8Dv6DG/view?usp=drive_link,1,0,0,1,1,,,,,,0,0,0,,,,,,
,,,The Moscow-Pullman Daily News,2021,"Indigenous women, domestic abuse the focus of forum","Moscow, Latah, ID","Moscow, Latah, ID; National",Access World News,April 2 ,A2,Newspaper-Image Edition,https://drive.google.com/file/d/1CCeFRD3ac81DgDUKb-YxvsvnFPE2KXog/view?usp=drive_link,1,0,0,1,1,,,,,,0,0,0,,,,,,
Rosenberg,Paul,,The Moscow-Pullman Daily News,2021,Project Censored: Top ten stories the mainstream media missed in 2020 ,"Moscow, Latah, ID",Canada; National,Access World News,January 7,6,Newspaper-Image Edition,https://drive.google.com/file/d/1v6exIAHg8J3ZmHGCJIAuFsCH65kGotiv/view?usp=drive_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
,,,The Moscow-Pullman Daily News,2020,Spalding Visitor Center discussion to focus on violence against indigenous women ,"Moscow, Latah, ID","Lapwai, Nez Pearce, ID",Access World News,March 10,A2,Newspaper-Image Edition,https://drive.google.com/file/d/1FUW67b4ifj8nP-fFG4x0B2b37aj7edUG/view?usp=drive_link,1,1,0,1,0,,,,,,0,0,0,,,,,,
Spence,William L.,,The Moscow-Pullman Daily News,,"Troy's resolution would call attention to missing, murdered indigenous people","Moscow, Latah, ID",ID; National,Access World News,February 13,A3,Newspaper-Image Edition,https://drive.google.com/file/d/1rrOQB_6Sc5QK3ssHOAfqGoUYuYcjRfdp/view?usp=drive_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
,,,The Moscow-Pullman Daily News,2019,Attorney general unveils plan on missing Native Americans,"Moscow, Latah, ID",National,Access World News,November 23,A5,Newspaper-Image Edition,https://drive.google.com/file/d/1bi3vMiXTcMM8ZOuWQegHH5Hl3de0e3GT/view?usp=drive_link,1,0,0,1,1,,,,,,0,0,0,,,,,,
Associated Press,,,The Moscow-Pullman Daily News,2019,Missing indigenous women spotlighted as bill signed,"Moscow, Latah, ID","WA; Olympia, Thurston, WA; National",Access World News,April 25,A5,Newspaper-Image Edition,https://drive.google.com/file/d/16XfLRLLk546agYye55rC5_3IpdY2S2Ak/view?usp=drive_link,1,0,1,1,1,,,,,,1,1,1,,,,,,
