Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"MMIWG defined (1,0)","specific case (1,0)","MMIWG mvmnt (1,0)","coverage of legal protection (1,0)","News article (1,0)","video/audio (1,0)","material culture (1,0)","international (1,0)","national (1,0)","regional (1,0)","local (1,0)","Native (1,0)",# of sources,# of govt officials,# of ordinary people,# of experts,# of id male,# of id female,# of gender unID,"(Native voice) token/soundbite (1,0)","centers importance of MMIWG (1,0)","discussion of law impact (1,0)",word count,"article series (1,0)"
Vista,Francesca Maxine ,,CBS - 2 KREM,2024,New assistant attorney hired to prosecute missing and murdered Indigenous people cases - Bree R. Black Horse is one of five attorneys chosen to help combat ongoing issues involving MMIP and tribal safety nationwide ,"Spokane, Spokane County, WA","Yakima, Yakima County, WA, National ",Access World News,29-Feb-24,N/A,Web-Only Source,https://drive.google.com/file/d/1693Z0pa64xH9vCclcesKh5HF5DmJVQrE/view?usp=share_link,1,0,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
King 5 Staff ,,,CBS - 2 KREM,2023,"Man sentenced to 34 years in prison for murdering woman whose remains were found near UW campus - According to court documents, Charles Becker murdered the woman in his home then he stored her corpse ""for an extended amount of time."" ","Spokane, Spokane County, WA","Seattle, King County, WA",Access World News,30-Jun-24,N/A,Web-Only Source,https://drive.google.com/file/d/1tSofcnvAyKVIBZYIM-EuKgkbxbNUVrod/view?usp=share_link,1,0,1,1,0,,,,,,1,1,1,,,,,,,,,,,,
Henkels,Patrick,,CBS - 2 KREM,2023,"Kalispel Tribe to pay tribute to missing Indigenous women with Red Dress Dance and honor song - The performance is scheduled for May 1, 2023 and is open to the public to the casino ","Spokane, Spokane County, WA","Airway Heights, Spokane County, WA, Spokane, Spokane County, WA",Access World News,29-Apr-23,N/A,Web-Only Source,https://drive.google.com/file/d/1Wzb3JCc1trCVnA3aRitrEoOB1lJdXpep/view?usp=share_link,1,1,0,1,0,,,,,,1,0,0,,,,,,,,,,,,
Randhawa,PJ,,CBS - 2 KREM,2023,"Family searching for Kent woman who disappeared after haunting 911 call - For 14 years, a chilling 911 call and scream for help has haunted the family of missing mother Alyssa McLemore ","Spokane, Spokane County, WA","Kent, King County, WA",Access World News,27-Feb-23,N/A,Web-Only Source,https://drive.google.com/file/d/12q_5E13SSkCMScm8o2RFwc01bjzr308_/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Randhawa,PJ,,CBS - 2 KREM,2023,They butchered him:' Shelton family find son's killer and dismembered remains after slow police response - Never before heard 911 calls and body cam video show the family of Derrick Wily begging Shelton police to investigate his murder. Help came too late. ,"Spokane, Spokane County, WA","Shelton, Mason County, WA",Access World News,15-Feb-23,N/A,Web-Only Source,https://drive.google.com/file/d/14iqbknxxLQ48I0XmKZPDtZWbDL2qbMLX/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
King 5 Staff ,,,CBS - 2 KREM,2022,"Suspect in case involving woman's remains found near UW campus charged - On Tuesday, Seattle police arrested a 32-year-old man after they connected him to DNA evidence found at the scene.","Spokane, Spokane County, WA","Seattle, King County, WA",Access World News,6-Oct-22,N/A,Web-Only Source,https://drive.google.com/file/d/1CX6JcxHvw5yZhqBgKwC6U3BY0arfdTnE/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Randhawa,PJ,,CBS - 2 KREM,2022,Report: Seattle police's 'racial misclassifications' hiding crisis for missing and indigenous people - Seattle's City Council passes Resolution 31900 in 2019 to create a partnership between police and Seattle Indian Health Board's to improve data collection.,"Spokane, Spokane County, WA","Seattle, King County, WA",Access World News,19-May-22,N/A,Web-Only Source,https://drive.google.com/file/d/1hkEX5HGUpXo-403JYQJ3xkGBAYyjzLiq/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Perez,Brianda,,CBS - 2 KREM,2022,Lawmakers look to designate May 5 as National Day for Missing and Murdered Native Women and Girls - The resolution calls for more work that needs to be done to address the cases of missing and murdered Native women and girls nationwide.,"Spokane, Spokane County, WA","Washington D.C., National",Access World News,5-May-22,N/A,Web-Only Source,https://drive.google.com/file/d/1ttasGyclXFUMlHUrZRTDab587I0k-ahY/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Proctor,Cody ,,CBS - 2 KREM,2022,Empty red dress display at Northern Quest stark reminder of missing and murdered indigenous women - Kalispel Tribal elder Stephanie Stoop made a custom jingle dress for Thursday's ceremony put on by the Kalispel Tribe of Indians and by Northern Quest.,"Spokane, Spokane County, WA","Airway Heights, Spokane County, WA, Spokane, Spokane County, WA, Washington State ",Access World News ,5-May-22,N/A,Web-Only Source,https://drive.google.com/file/d/1E21UKCWRMDP4Us9e7W_KeVgtPdBxU3ZZ/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Curtis,Channing ,,CBS - 2 KREM,2021,"Saving Our Sacred Sisters: What's being done to stop violence against Indigenous women - According to the U.S. Department of Justice, the number of Indigenous women living on tribal lands who are murdered is 10 times the national average.","Spokane, Spokane County, WA","Spokane, Spokane County, WA",Access World News,28-Oct-21,N/A,Web-Only Source,https://drive.google.com/file/d/1nE-HtvYKOKVw3Q9y8bZHjzgF2FBZQwCg/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Trau,Morgan ,,CBS - 2 KREM,2021,"Deb Abrahamson, longtime environmental activist on Spokane reservation, dies at 66, She dedicated her life to making the world a better place, Spokane Tribe leaders said.","Spokane, Spokane County, WA","Spokane County, WA",Access World News,3-Jan-21,N/A,Web-Only Source,https://drive.google.com/file/d/110P2oW5OdSfL0fKYdXYf2jnwLAhuUxle/view?usp=share_link,1,1,0,0,1,,,,,,1,1,0,,,,,,,,,,,,
12 News,,,CBS - 2 KREM,2020,Navajo Nation commends signing of acts which address missing and murdered Indigenous women into law - President Donald Trump signed the Savanna's Act and Not Invisible Act signed into law on Saturday.,"Spokane, Spokane County, WA","Windrock, Apache County, AZ, National",Access World News,11-Oct-20,N/A,Web-Only Source,https://drive.google.com/file/d/14yQgN32Yy34vNcdLa952DHzscoCUyO-U/view?usp=share_link,1,0,1,1,1,,,,,,0,1,0,,,,,,,,,,,,
Mikkelsen,Drew,,CBS - 2 KREM,2019,Washington state alters approach to finding 56 missing indigenous women - A Washington State Patrol study identified 56 missing Native American women. ,"Spokane, Spokane County, WA","Olympia, Thurston County, WA",Access World News,5-Jun-19,N/A,Web-Only Source,https://drive.google.com/file/d/151UsRWiJe36mYRrcquvBGeQiCSolUYgb/view?usp=share_link,1,0,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Webb,Patrick,,Chinook Observer,2023,Chinook greeting welcomes somber exhibit - Museum highlights missing indigenous people ,"Long Beach, Pacific County, WA","Pacific/Wahkiakum County, WA",Access World News,31-May-23,N/A,Newspaper,https://drive.google.com/file/d/1NRWBXYUAv3pousHfif6ANyaN-ElyCwRi/view?usp=share_link,1,1,0,1,0,,,,,,1,1,0,,,,,,,,,,,,
The Chronicle Staff ,,,The Chronicle,2025,Washington's congressional delegation introduces bill to give tribal law enforcement equal footing with federal counterparts ,"Centralia, Lewis County, WA",National,Access World News,1-Aug-25,N/A,Newspaper,https://drive.google.com/file/d/1EEmqMhHSAZFVC_KjwNnZr9V4ln4WaUql/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Roland,Mitchell,,The Chronicle,2024,Toledo police become first department to formally recognize missing and murdered indigenous women ,"Centralia, Lewis County, WA","Toledo, Lewis County, WA",Access World News ,8-May-24,N/A,Newspaper,https://drive.google.com/file/d/1y7H3_oEcF2PRdgM97dM_o3ABGiOEmhoj/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
The Chronicle Staff ,,,The Chronicle,2023,"Confederated Tribes of the Chehalis get $650,000 grant to support victims of domestic violence ","Centralia, Lewis County, WA","Chehalis, Lewis Countym WA, Washington State",Access World News,27-Oct-23,N/A,Newspaper,https://drive.google.com/file/d/1rAi-q6WZL7qxrjweGbt8wzbMUJ4EpuTT/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Fairbanks,Katie,,The Chronicle,2023,"Cowlitz Indian Tribe Honors Missing, Murdered Members","Centralia, Lewis County, WA","Longview, Vancouver, Toledo, DuPont, Tukwila, Washington",Access World News,8-May-23,N/A,Newspaper,https://drive.google.com/file/d/1TNuqX0BcYyfjR2vXHrfKtoBTkgriVLFF/view?usp=share_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
The Chronicle Staff ,,,The Chronicle,2023,Attorney General Bob Ferguson Partners With Lawmakers to Propose Legislation Targeting Native American Cold Cases,"Centralia, Lewis County, WA",Washington State,Access World News,9-Jan-23,N/A,Newspaper,https://drive.google.com/file/d/1IZXJzmdCkLzmU-X3lg7AUkFIWeF6aHt_/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Ayer,Tammy,,The Chronicle,2022,"State Task Force on Missing Indigenous People Stresses Need for Funding, Family Support","Centralia, Lewis County, WA","Toppenish, Yakima County, WA, Washington State",Access World News ,19-Sep-22,N/A,Newspaper,https://drive.google.com/file/d/1lmWnwaW0GiIRpfJZmQjUO1yQy8mHJ8f4/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Laurel,Demkovich,,The Chronicle,2022,State Task Force Releases First Recommendations Regarding Missing and Murdered Indigenous People ,"Centralia, Lewis County, WA","Olympia, Thurston County, WA, Washington State ",Access World News,2-Aug-22,N/A,Newspaper,https://drive.google.com/file/d/1slyt3-n47D17rCuLlB95yFotjUIFm80o/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Hansen,Brandon,,The Chronicle,2022,New Statewide Alert System for Missing Indigenous People is a Welcomed Change for Nisqually Tribe ,"Centralia, Lewis County, WA",Washington State ,Access World News,26-Apr-22,N/A,Newspaper,https://drive.google.com/file/d/1vzfXRzzu6ucYa_GGjz16n_69kZcK0s0r/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
The Chronicle Staff ,,,The Chronicle,2022,Attorney General and Rep. Debra Lekanoff File Bill to Create Alert System for Missing Indigenous Women ,"Centralia, Lewis County, WA",Washington State,Access World News,3-Jan-22,N/A,Newspaper,https://drive.google.com/file/d/1nL1hW8KOulmxk7bVGek5-2zAAB3veYCS/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Donovan-Smith,Orion ,,The Chronicle,2020,"Trump, Biden Plans Offer Different Levels of Detail for NW Tribes","Centralia, Lewis County, WA",National,Access World News,28-Oct-20,N/A,Newspaper,https://drive.google.com/file/d/1J3bqytXqiR83A5itWwHisyiO7veIgRr4/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Donovan-Smith,Orion ,,The Chronicle,202,Washington Tribes React to Congressional Passage of Bills Addressing Missing and Murdered Native Women ,"Centralia, Lewis County, WA","Washington State, National",Access World News,22-Sep-20,N/A,Newspaper,https://drive.google.com/file/d/1SbltFyB7lg0-nFSuRBjF82GNF-hmy3rh/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2024,"Film shines light on missing Tulalip woman's story -- and larger crisis - ""Missing From Fire Trail Road"" spotlights the unsolved case of Mary Johnson-Davis. It premieres Saturday at the Tribeca Film Festival in New York.","Everett, Snohomish County, WA","Everett, Snohomish County, WA",Access World News,5-Jun-24,N/A,Newspaper,https://drive.google.com/file/d/1gmNZgi4ZyX0ZPMslivgmNFRLddV4iRa9/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2023,Filmmaker aims to shed light on missing Tulalip woman's cold case - Mary Ellen Johnson-Davis has been missing for 2 1/2 years with no word. Tassel's latest documentary. ,"Everett, Snohomish County, WA","Tulalip, Snohomish County, WA",Access World News,8-Jul-23,N/A,Newspaper,https://drive.google.com/file/d/1KAc79Z8D_xVVnXSmKjt4BAuXGi7kOrXo/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2022,Washington launches new Indigenous missing person alert system - It's similar to an Amber Alert. Tulalip families of missing have called the program a good first step. ,"Everett, Snohomish County, WA","Tulalip, Snohomish County, WA",Access World News,"Jul1 1, 2022",N/A,Newspaper,https://drive.google.com/file/d/1VM5vYKgT2xRJzL0nKbNfMPldKkdDiEsD/view?usp=share_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2022,Conflicted' feeling in Tulalip: School mascot 'Tomahawks' to stay - A state law change fanned a year of debate over whether the mascot is offensive Tulalip elders tended to support it. ,"Everett, Snohomish County, WA","Marysville, Snohomish County, WA",Access World News,7-Jun-22,N/A,Newspaper,https://drive.google.com/file/d/1O5ATBIV05gGFEx-meaZmM3uJR1TmVqQh/view?usp=share_link,1,0,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2022,"Tulalip candlelight vigil honors missing, murdered Native women - On reservations, ""a lot of people just disappear and that's it."" A vigil aimed to bring closure and understanding of the history.","Everett, Snohomish County, WA","Tulalip, Snohomish County, WA, Everett, Snohomish County, WA",Access World News,7-May-22,N/A,Newspaper,https://drive.google.com/file/d/1cabqFwFigA_0ciV9mnEXn4yEyOyBSMNj/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2022,"In Edmonds, red dresses represent a crisis of missing Native people - ""I don't want it to be accepted anymore,"" said a teen who organized an installation of the Red Dress Project at an Edmonds church.","Everett, Snohomish County, WA","Edmonds, Snohomish County, WA, Washington State",Access World News,5-May-22,N/A,Newspaper,https://drive.google.com/file/d/1Hy9w7-duRYCIQ6u8cPQf5Smo2MAXi8DU/view?usp=share_link,1,1,0,1,1,,,,,,1,1,0,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2022,New alert system aims to bring home missing Indigenous people - Gov. Jay Inslee signed a law creating the new system. Families of the missing and murdered say it's a start.,"Everett, Snohomish County, WA","Tulalip, Snohomish County, WA, Washington State ",Access World News,11-Apr-22,N/A,Newspaper,https://drive.google.com/file/d/17jVann5UjVK1aXePzprwg_tJJ5ZWQJEu/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2021,"Tulalip students say change starts with the mascot - Tony Hatch, a Marysville Pilchuck senior, has been the target of racist slurs and war calls. She - and many others - want change.","Everett, Snohomish County, WA","Marysville, Snohomish County, WA",Access World News,15-Dec-21,N/A,Newspaper,https://drive.google.com/file/d/1hcNUcYjrOPhFQ2dy_xnOu9OpnxLddVFR/view?usp=share_link,1,1,0,1,1,,,,,,1,1,0,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2021,"Tulalip woman is among scores of missing Indigenous people - Mary Johnson-Davis, then 39, vanished over a year ago. A ceremony to honor her was held Thursday on the Tulalip Reservation. ","Everett, Snohomish County, WA","Tulalip, Snohomish County, WA",Access World News,9-Dec-21,N/A,Newspaper,https://drive.google.com/file/d/1Cy-XnP1wqlnelj77EMmknKgeYJSWMmmp/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Hume,Wendelin,,The Daily Herald ,2021,Viewpoints: Indigenous people don't disappear; they're ignored - Spotty data and media bias have delayed justice for missing and murdered Indigenous people.,"Everett, Snohomish County, WA",National,Access World News,8-Nov-21,N/A,Newspaper,https://drive.google.com/file/d/14BbF5C4daik3i_0LIvhd25rLNysfKlWN/view?usp=share_link,1,1,1,1,1,,,,,,0,1,0,,,,,,,,,,,,
Cary,Annette,,The Daily Herald ,2021,2nd gentleman Doug Emhoff hears pleas from Yakama Nation - Tribal leaders want lower Snake River dams removed and help with missing and murdered tribal members.,"Everett, Snohomish County, WA","Toppenish, Yakima County, WA, National",Access World News,7-Apr-21,N/A,Newspaper,https://drive.google.com/file/d/1J8BXX75lNM63vKp4jUSnkGjcV3fY_AvK/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Ayer,Tammy ,,The Daily Herald ,2019,"Tribal roles to focus on missing, murdered indigenous people - One position will be located in Olympia. The second will serve in Eastern Washington.","Everett, Snohomish County, WA",Washington State,Access World News,8-Oct-19,N/A,Newspaper,https://drive.google.com/file/d/1mkiQub7akiiez99tMD03xO-3HDJfe9ND/view?usp=share_link,1,0,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Bloomberg editors,,,The Daily Herald ,2019,Commentary: Confront violence against Native American women - Congress can improve law enforcement coordination with tribes and set new rules for reporting crime. ,"Everett, Snohomish County, WA",National,Access World News,17-Feb-19,N/A,Newspaper,https://drive.google.com/file/d/14HgXmVbnZyZjMdNh7MaIb03Sq1rGVEN7/view?usp=share_link,1,1,1,1,1,,,,,,0,1,0,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2019,"Legislation targets missing and murdered indigenous women - Savanna's Act, co-sponsored by Sen. Cantwell, seeks to improve tribal access to federal crime databases ","Everett, Snohomish County, WA","Puyallup, Pierce County, WA, National",Access World News,8-Feb-19,N/A,Newspaper,https://drive.google.com/file/d/1mxKDWoXK1Tg-eFnlZt_sHvEB7QWmzExq/view?usp=share_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2019,Urban indigenous communities want violence addressed - Report: 71 urban indigenous women are missing or murdered in Washington state. ,"Everett, Snohomish County, WA","Port Angeles, Clallam County, WA, National, Canad",Access World News,9-Jan-19,N/A,Newspaper,https://drive.google.com/file/d/1f_IggUBFpQ-5SeNBVIOjTh9kgQ1SwTed/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,The Daily Herald ,2018,"First steps taken to count missing, murdered Yakama women and girls - On some reservations, Native American women are murdered ar a rate 10 times the national average.","Everett, Snohomish County, WA","Yakima/Kittitas County, National",Access World News,18-Sep-18,N/A,Newspaper,https://drive.google.com/file/d/1-ZJaFT21bnkNCpIc6tazqlNSzh0wwBcs/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
N/A,N/A,,The Daily Herald ,2016,Hibulb exhibit all about remembering ,"Everett, Snohomish County, WA","Tulalip, Snohomish County, WA",Access World News,22-Jan-16,N/A,Newspaper,https://drive.google.com/file/d/1sC_2fzYrWz051K1Mp-rb2WR0C5989BUP/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Staff Writer,,,The Daily News,2025,Task force is showing results ,"Longview, Cowlitz County, WA",Washington State,Access World News,12-Jul-25,N/A,Newspaper,https://drive.google.com/file/d/1888LMDYo-1stBZqQmxiQwGup6Pv5fHZI/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer,Tammy,,The Daily News,2024,More support for families in place tp address crisis of missing and murdered Indigenous people in WA,"Longview, Cowlitz County, WA","Toppenish, Yakima County, WA, Washington State",Access World News,20-Nov-24,N/A,Newspaper,https://drive.google.com/file/d/1S_DCo1czpEqo83KW7OFgcYA6wsiNcyj1/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Donovan-Smith,Orion,,The Daily News,2023,Justice Department chooses Eastern Washington as focus of effort to solve cases of missing and slain Indigenous people,"Longview, Cowlitz County, WA",Washington State ,Access World News,7-Jul-23,N/A,Newspaper,https://drive.google.com/file/d/1-sMuOThRKRX0UW9o0hF8_CkskrHGAZjb/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
N/A,N/A,,The Daily News,2023,Our view: Cowlitz Tribe has made impressive strides,"Longview, Cowlitz County, WA","La Center, Cowlitz Countym WA, Kalama, Cowlitz County, WA",Access World News,14-May-23,N/A,Newspaper,https://drive.google.com/file/d/1T4L9TIf2tWD5lTyPTzEullBrkrMLWTG4/view?usp=share_link,1,1,0,1,0,,,,,,0,0,0,,,,,,,,,,,,
Fairbanks,Katie,,The Daily News,2023,"Cowlitz Indian Tribe honors missing, murdered members","Longview, Cowlitz County, WA","Longview, Cowlitz County, WA, Toledo, Lewis County, WA, DuPont, Pierce County, WA, Tukwila, King County, WA, Vancouver, Clark County, WA, Washington State ",Access World News,6-May-23,N/A,Newspaper,https://drive.google.com/file/d/1xds2imeW8XW8UTUn7k4cWBSCbgpB3URd/view?usp=share_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
Miller,Bruce R.,,The Daily News,2022,"Hilary Swank stars in ""Alaska Daily"", a drama that uplifts journalism ","Longview, Cowlitz County, WA",National,Access World News,22-Oct-22,N/A,Newspaper,https://drive.google.com/file/d/1bQJzrszg_vd-jbzKdoC8GyQkGtkSxR__/view?usp=share_link,1,0,0,1,0,,,,,,1,0,0,,,,,,,,,,,,
Kauffman,Brennen,,The Daily News,2022,Cowlitz Tribe Members applaud launch of missing Indigenous alert system,"Longview, Cowlitz County, WA",Washington State ,Access World News,6-Apr-22,N/A,Newspaper,https://drive.google.com/file/d/19tMUulvzhkzI47yxeD3KDp_gfi0rj4wW/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Kirshenbaum,Josh,,The Daily News,2021,I'm determined to represent these tribes': Rosalie Fish is set to come home ,"Longview, Cowlitz County, WA",Washington State ,Access World News,27-Jan-21,N/A,Newspaper,https://drive.google.com/file/d/1AhBa_wkEgX99eTdqv_IBzTRCNJAWc01w/view?usp=share_link,1,1,1,1,0,,,,,,0,0,0,,,,,,,,,,,,
Staff Writer,,,The Daily News,2019,Recognize Indigenous Peoples Day ,"Longview, Cowlitz County, WA","Wisconsin, National",Access World News,11-Oct-19,N/A,Newspaper,https://drive.google.com/file/d/1mgcnmPgFb8O8wZx2Kp9Qsl1A5bGgKaD4/view?usp=share_link,1,1,0,0,1,,,,,,1,0,0,,,,,,,,,,,,
Mize,Jefferey,,The Daily News,2019,"Cowlitz canoe journey honors tribal ancestors, forges bonds","Longview, Cowlitz County, WA","Vancouver, Clark County, WA, Camas, Clark County, WA, Bellingham, Whatcom County, WA, La Center, Cowlitz County, WA, National",Access World News,14-Jul-19,N/A,Newspaper,https://drive.google.com/file/d/1dh9up5Pp2uKgw50RON4ojgsESorGibWM/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
N/A,N/A,,The Daily Record (2024-2025),2024,"Fancy Dance' balances heartbreak, humor in story of missing Indigenous woman","Ellensburg, Kittitas County, WA","Los Angeles, Los Angeles County, CA",Access World News,20-Jun-24,A2,Newspaper-Image Edition,https://drive.google.com/file/d/1hczuz98y16S-F1_fBWzx6TUbAUAJ_Wek/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
N/A,N/A,,The Daily World ,2024,"Native students, educators raise awareness for victims of violence ","Aberdeen, Grays Harbor County, WA","Ocean Shores, Grays Harbor County, Washington State ",Access World News,8-May-24,N/A,Newspaper,https://drive.google.com/file/d/1n8Qki_CEyTIHUPMhM0F-QUdkfe9sYd0_/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
N/A,N/A,,The Daily World ,2023,No More Stolen Sisters',"Aberdeen, Grays Harbor County, WA","Hoquiam, Grays Harbor County, WA",Access World News,8-May-23,N/A,Newspaper,https://drive.google.com/file/d/1eg6jjF0eHRhxXZUGGXTb08JVt_3S8JhQ/view?usp=share_link,1,1,0,1,0,,,,,,1,0,0,,,,,,,,,,,,
N/A,N/A,,The Daily World ,2022,Indigenous students at Hoquiam High School speak up,"Aberdeen, Grays Harbor County, WA","Hoquiam, Grays Harbor County, WA",Access World News,7-May-22,N/A,Newspaper,https://drive.google.com/file/d/1h1cw5yeqQLPTEynlmRjpsWAb0xNMK081/view?usp=share_link,1,1,1,1,0,,,,,,1,1,1,,,,,,,,,,,,
N/A,N/A,,The Daily World ,2021,2nd Gentleman Doug Emhoff hears pleas to breach Snake River damns during visit,"Aberdeen, Grays Harbor County, WA","Toppenish, Yakima County, WA",Access World News,7-Apr-21,N/A,Newspaper,https://drive.google.com/file/d/1BLNdSK7-JRcJTzmpu4CAlDTldZmxUDy8/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Newhouse,Dan,,The Daily World ,2024,Fighting crime and reforming healthcare in tribal communities,"Wenatchee, Chelan County, WA","Central Washington State, National",Access World News,15-Aug-24,N/A,Newspaper,https://drive.google.com/file/d/1bAq4UXzR8geFCHILADUz_hcKbg_dFrav/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Newhouse,Dan,,The Daily World ,2020,Recognizing Native American Heritage Month ,"Wenatchee, Chelan County, WA",Washington State ,Access World News,10-Dec-20,N/A,Newspaper,https://drive.google.com/file/d/1kia74fO9zjb9J1eJXRw_WRX49gadAQZ6/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Josie,Bailey,,Enumclaw Courier-Herald,2024,Working toward justice for the missing and murdered in Washington ,"Enumclaw, King County, WA",Washington State ,Access World News,28-Nov-24,N/A,Newspaper,https://drive.google.com/file/d/1JuZ0zkEIIz4_-AWcuYkoNvtsyYmnheLO/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
N/A,N/A,,Enumclaw Courier-Herald,2022,Forum spotlights Washington's missing and murdered Indigenous people ,"Enumclaw, King County, WA",Washington State,Access World News,16-Nov-22,N/A,Newspaper,https://drive.google.com/file/d/1cudQ85cVQBxfwda3IJ04JnKfDcfpFRGZ/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
N/A,N/A,,Enumclaw Courier-Herald,2022,No more stolen sisters: How WA is responding to missing and murdered Indigenous people ,"Enumclaw, King County, WA","King County, WA, Washington State, National",Access World News,7-May-25,N/A,Newspaper,https://drive.google.com/file/d/1oNojU1T7g0l8lJlcw7SOemsP80KQrTCF/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
N/A,N/A,,Enumclaw Courier-Herald,2022,New alert system aims to bring home missing Indigenous people ,"Enumclaw, King County, WA","Marysville, Snohomish County, WA, Tulalip, Snohomish County, WA, Washington State ",Access World News,12-Apr-22,N/A,Newspaper,https://drive.google.com/file/d/1Khc9l1uDdyxroTHPnM8Y2TbArv-BSNZy/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Hellmann,Melissa,,Enumclaw Courier-Herald,2019,Legislation targets missing and murdered indigenous women epidemic ,"Enumclaw, King County, WA","Washington State, National",Access World News,8-Feb-19,N/A,Newspaper,https://drive.google.com/file/d/1ghN-D2OkbDu1y-qROXf7TEvKurh5oFEv/view?usp=share_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
Hellmann,Melissa,,Enumclaw Courier-Herald,2019,Washington indigenous communities push for action to address violence against women ,"Enumclaw, King County, WA","Port Angeles, Clallam County, WA",Access World News,14-Jan-19,N/A,Newspaper,https://drive.google.com/file/d/1ghN-D2OkbDu1y-qROXf7TEvKurh5oFEv/view?usp=share_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
